pscore,eligible,matched
0.9838130817843322,1,0
0.9827680192690771,1,1
0.9376944348244806,1,0
0.790779901709064,1,0
0.9876107057468452,1,0
0.9549985927875779,1,0
0.9842154832938468,1,0
0.9842113956776087,1,0
0.9880828168383523,1,0
0.9129749224357244,1,0
0.9286484875776161,1,1
0.9069094229783593,1,0
0.8831473067676117,1,0
0.9968772586234659,1,0
0.9392218764555955,1,0
0.9077071597793414,1,0
0.8994911998933037,1,0
0.9750976324629101,1,0
0.9801139387450014,1,0
0.9632221660938183,1,0
0.9908660179884204,1,0
0.9446874811547696,1,0
0.9913580035418547,1,0
0.9759650328455692,1,0
0.9930128276441244,1,0
0.9607101331732134,1,0
0.9520282472165149,1,0
0.9849324529697302,1,0
0.9896900305029701,1,0
0.9768775164408583,1,0
0.9707658492395586,1,0
0.9824874143955791,1,0
0.9008632823518425,1,0
0.9694528581831027,1,0
0.997468579047529,1,0
0.958007629737334,1,0
0.9109340194986661,1,0
0.9870246296745258,1,0
0.999616945323166,1,0
0.9838084662635166,1,0
0.9815805784456453,1,0
0.965147474370001,1,0
0.9238483141977761,1,0
0.930022502961093,1,0
0.9583312791679142,1,0
0.9738656921955314,1,0
0.9268500818418087,1,0
0.9134638531698827,1,0
0.9777069981054527,1,0
0.9386153564939086,1,0
0.9865275211684432,1,0
0.9323797448448569,1,0
0.9397309571130072,1,0
0.9120611345453117,1,0
0.9742406978099114,1,0
0.9907304561062458,1,0
0.9874060183154783,1,0
0.978965643068917,1,0
0.9953738039016974,1,0
0.9947065014661923,1,0
0.9416673053918707,1,0
0.9690011057957031,1,0
0.8583962117532928,1,0
0.9521196799138548,1,0
0.9637630361681586,1,0
0.9928370360342843,1,0
0.9996812561121986,1,0
0.9456658662366263,1,0
0.992161108354202,1,0
0.9740809051889591,1,0
0.9816783785655077,1,0
0.9039794055770681,1,0
0.9719030921353453,1,0
0.9986643599475238,1,0
0.9530536735925283,1,0
0.9759902099430943,1,0
0.9869006078188529,1,0
0.9699925100403827,1,0
0.9735801711459459,1,0
0.995891639715932,1,0
0.9875700679095094,1,0
0.9922737143685921,1,0
0.8270884426598656,0,1
0.991552065226223,1,0
0.9410735735995778,1,0
0.950717342934224,1,0
0.9793734885514935,0,1
0.995248051986267,1,0
0.96049695572694,1,0
0.9504805863089247,1,0
0.9048430684731779,1,0
0.9732555528929072,1,0
0.9619983964737503,1,0
0.9687419178261959,1,0
0.9812087099097838,1,0
0.9303944476508292,1,0
0.9940813850261975,1,0
0.8923796947799488,1,0
0.9901415429345399,1,0
0.9900103058691985,1,0
0.9850608721111788,1,0
0.9663213516143944,1,0
0.8956808939434745,1,0
0.9877121266666122,1,0
0.9838446494629479,1,0
0.9791364037881125,1,0
0.9759865216067702,1,0
0.9804697645111826,1,0
0.9840659703409325,1,0
0.9899440714302415,1,0
0.9347888691652082,1,0
0.9581631190523348,1,0
0.9757903901666426,1,0
0.9394147574913769,1,0
0.9888736990114876,1,0
0.9903568266741544,1,0
0.7661456791431891,1,0
0.450826086998446,1,0
0.9639399694304618,1,0
