username,portfolio_size,agentic_share,avg_mu,avg_builds
yasaslive,16,0.813,0.8125,11.6875
yeahjjyy,5,0.0,0.8,22.8
young_billionaires,4,1.0,7.0,19.0
z3n_m4nt1s,4,1.0,1.0,4.75
zerobudget,2,0.5,0.0,5.5
zon4a,2,0.0,0.5,12.0
scrapemint,243,0.992,2.983539094650206,3.3868312757201644
scrapepilotapi,25,0.0,0.68,3.28
scrapesage,356,0.983,4.345505617977528,10.837078651685394
scrapesmith,73,0.836,19.753424657534246,11.73972602739726
scrapeworks,50,0.92,1.4,1.66
abaddion,2,0.5,1.5,4.5
abrahan_dev,2,0.0,1.0,8.0
acclaimed_ashram,5,1.0,0.6,1.2
accurate_dancer,3,1.0,0.6666666666666666,7.0
acid-base,21,0.476,1.380952380952381,4.904761904761905
actorpilot,8,0.0,0.75,17.0
actums,2,0.0,1.5,26.5
adrian_horning,2,0.0,0.0,5.0
aetherlabx,6,1.0,1.1666666666666667,6.166666666666667
aezakmi,2,0.0,1.0,17.0
agenscrape,74,0.959,6.581081081081081,9.702702702702704
agentumgroup,7,1.0,0.8571428571428571,3.142857142857143
ai_solutionist,9,0.667,0.4444444444444444,20.666666666666668
aitoolbreakdown,5,1.0,0.8,4.0
akula.marketing,7,1.0,26.142857142857142,25.142857142857142
alex_demeniuk,3,1.0,1.6666666666666667,7.666666666666667
alphabeta69,3,1.0,0.0,2.0
amernas,6,0.333,1.6666666666666667,19.166666666666668
anaselgamed,3,0.0,1.0,3.0
anchor,12,0.167,42.0,80.16666666666667
animizio,3,1.0,1.0,1.6666666666666667
api_merge,8,1.0,6.0,11.25
apicat,2,0.0,1.5,85.0
apipi,4,0.0,0.75,5.5
apivault_labs,58,0.672,14.568965517241379,26.862068965517242
apnoda,5,0.0,0.8,16.6
armourylabs,8,0.75,0.875,6.875
arrontaylor,3,0.0,1.6666666666666667,6.666666666666667
assmblr,3,1.0,0.0,13.666666666666666
asvuep,2,1.0,2.5,5.0
automation_studio,5,0.8,0.6,23.8
automationnation,10,0.8,1.0,10.2
avant_technologies,2,1.0,0.5,11.5
avqelle,2,1.0,1.0,10.0
axetl_industries,3,0.667,0.3333333333333333,20.666666666666668
azlan_lionheart,2,0.0,1.5,1.0
azureblue,22,1.0,0.8181818181818182,8.772727272727273
b3264,11,1.0,0.9090909090909091,17.727272727272727
balathon,4,1.0,0.25,7.75
barefoot_year,8,0.0,10.875,17.875
barking_wisdom,3,1.0,1.0,5.0
bb-tradetec,39,0.974,0.9743589743589743,4.3076923076923075
beatanalytics,10,1.0,43.8,16.8
bitofacoder,3,1.0,1.6666666666666667,1.3333333333333333
bostomate,4,1.0,0.75,2.5
bujhmml,6,0.667,2.1666666666666665,3.5
caleno,3,1.0,0.6666666666666666,8.666666666666666
cerebral_aluminum,12,0.0,0.5833333333333334,2.0833333333333335
cerridwen,9,1.0,3.5555555555555554,11.444444444444445
cg_nguyen,4,0.75,1.25,6.0
charmed_magnolia,3,1.0,1.0,45.0
cirkit,36,0.833,5.277777777777778,6.277777777777778
civicdataforge,16,0.5,0.625,9.25
cleanscrape,2,1.0,2.5,6.0
cloway,6,0.667,2.8333333333333335,4.166666666666667
codescraper,18,0.278,2.5555555555555554,18.333333333333332
comfy_glove,7,0.0,1.4285714285714286,5.857142857142857
cone,2,0.5,2.0,39.0
consummate_kinesis_jvt,5,1.0,1.0,3.6
corent1robert,119,0.613,2.4789915966386555,21.714285714285715
corner_cutter,3,1.0,16.666666666666668,16.0
craigtechservicesllc,5,1.0,0.8,5.0
crawlergang,29,0.0,1.9655172413793103,1.0
cryptosignals,44,0.977,5.886363636363637,18.65909090909091
ctrlaltwin,2,0.0,0.5,50.5
curative_blanket,6,1.0,1.3333333333333333,5.333333333333333
dacoder,2,0.0,3.5,46.5
daddyapi,14,0.929,1.7857142857142858,4.785714285714286
danthedataman,3,1.0,5.333333333333333,7.0
data_alchemist,7,1.0,1.5714285714285714,17.142857142857142
data_link_miner,21,0.048,2.1904761904761907,2.9047619047619047
data_ops_main,5,1.0,9.0,2.6
data_place,15,0.0,1.0,4.533333333333333
datascoutapi,13,0.231,3.3076923076923075,41.61538461538461
deadlyaccurate,12,0.917,2.4166666666666665,17.416666666666668
deltaspider,15,0.067,0.5333333333333333,31.866666666666667
devbox123,2,0.0,1.0,2.5
devnaz,11,0.091,1.8181818181818181,6.818181818181818
devwithbobby,11,0.545,7.363636363636363,10.0
diegomedflo,2,0.0,1.0,24.5
digitalnomadph,3,1.0,1.3333333333333333,8.0
direct_houseboat,3,0.0,6.333333333333333,82.66666666666667
dominic.hoof.is,3,0.0,0.0,5.0
dominvo,2,1.0,15.5,9.0
downloaders,3,0.0,1.0,1.0
dr_amp,9,0.0,0.8888888888888888,1.8888888888888888
dsh-org,4,0.0,0.5,1.5
dtrungtin,64,0.688,1.96875,25.9375
duvan517x,2,1.0,1.0,15.5
edmartinez,2,0.0,0.0,8.0
ef12,19,0.947,1.0526315789473684,1.8421052631578947
entertained_rattlesnake,5,0.8,9.6,6.6
entrogix_works,8,1.0,1.0,6.25
epicmotionsd,2,1.0,0.5,9.0
ernestmarza,4,1.0,1.0,3.75
